"Player","Kit_No","Position","Height","Weight","NT","APP","SUB","Saves","Conceded","Assist","Foul","Fouled","YC","RC","Goals","Shots","OnTarget","Club"
"Giacomo Raspadori","81","Fwd","1.73 m","68 kg","Italy","22","12",NA,NA,"1","5","9","1","0","2","34","13","Napoli"
"Ciprian Tatarusanu","1","GK","1.98 m","88 kg","Romania","16","0","35","21","1","0","3","0","0",NA,NA,NA,"AC Milan"
"Mike Maignan","16","GK","1.91 m","87 kg","France","19","0","22","19","1","0","3","0","0",NA,NA,NA,"AC Milan"
"Denis Vásquez","77","GK","1.96 m","92 kg","Colombia","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AC Milan"
"Antonio Mirante","83","GK","1.93 m","78 kg","Italy","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AC Milan"
"Lapo Nava","92","GK","--","--","Italy","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AC Milan"
"Adam Bakoune","","Def","--","--","Italy","--","--",NA,NA,"--","--","--","--","--","--","--","--","AC Milan"
"Jan-Carlo Simic","","Def","1.85 m","--","Serbia","--","--",NA,NA,"--","--","--","--","--","--","--","--","AC Milan"
"Davide Calabria","2","Def","1.78 m","68 kg","Italy","22","4",NA,NA,"3","14","13","6","0","1","12","1","AC Milan"
"Fodé Ballo-Touré","5","Def","1.83 m","68 kg","Senegal","8","3",NA,NA,"0","5","11","0","0","1","5","3","AC Milan"
"Theo Hernández","19","Def","1.83 m","81 kg","France","29","0",NA,NA,"4","19","56","5","0","4","48","13","AC Milan"
"Pierre Kalulu","20","Def","1.78 m","68 kg","France","33","7",NA,NA,"1","23","23","4","0","1","11","2","AC Milan"
"Sergiño Dest","21","Def","1.73 m","68 kg","USA","8","6",NA,NA,"0","5","4","0","0","0","1","0","AC Milan"
"Fikayo Tomori","23","Def","1.85 m","73 kg","England","30","1",NA,NA,"0","23","24","5","0","1","8","3","AC Milan"
"Simon Kjaer","24","Def","1.91 m","86 kg","Denmark","16","4",NA,NA,"0","8","1","4","0","0","0","0","AC Milan"
"Alessandro Florenzi","25","Def","1.73 m","67 kg","Italy","5","3",NA,NA,"1","2","1","1","0","0","5","0","AC Milan"
"Malick Thiaw","28","Def","1.91 m","78 kg","Germany","17","5",NA,NA,"0","11","4","5","0","0","7","2","AC Milan"
"Matteo Gabbia","46","Def","1.85 m","78 kg","Italy","12","6",NA,NA,"0","8","1","2","0","0","1","0","AC Milan"
"Andrei Coubis","93","Def","1.88 m","--","Romania","--","--",NA,NA,"--","--","--","--","--","--","--","--","AC Milan"
"Andrea Bozzolan","94","Def","1.78 m","--","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","AC Milan"
"Christian Foglio","","Mid","--","--","Italy","--","--",NA,NA,"--","--","--","--","--","--","--","--","AC Milan"
"Ismaël Bennacer","4","Mid","1.75 m","68 kg","Algeria","28","4",NA,NA,"2","36","25","5","0","2","15","3","AC Milan"
"Yacine Adli","7","Mid","1.85 m","73 kg","France","6","5",NA,NA,"0","4","1","1","0","0","1","1","AC Milan"
"Sandro Tonali","8","Mid","1.8 m","78 kg","Italy","31","4",NA,NA,"6","31","29","7","0","2","30","13","AC Milan"
"Brahim Díaz","10","Mid","1.7 m","58 kg","Spain","30","6",NA,NA,"5","24","38","3","0","5","34","15","AC Milan"
"Tiemoué Bakayoko","14","Mid","1.85 m","77 kg","France","3","3",NA,NA,"0","3","1","0","0","0","0","0","AC Milan"
"Tommaso Pobega","32","Mid","1.88 m","73 kg","Italy","16","7",NA,NA,"0","29","5","4","0","2","19","5","AC Milan"
"Rade Krunic","33","Mid","1.83 m","73 kg","Bosnia and Herzegovina","20","5",NA,NA,"1","14","17","7","0","0","12","2","AC Milan"
"Aster Vranckx","40","Mid","1.83 m","78 kg","Belgium","9","7",NA,NA,"0","6","4","1","0","0","2","0","AC Milan"
"Alexis Saelemaekers","56","Mid","1.8 m","72 kg","Belgium","27","13",NA,NA,"2","21","21","1","0","2","30","9","AC Milan"
"Antonio Gala","88","Mid","1.73 m","72 kg","Italy","--","--",NA,NA,"--","--","--","--","--","--","--","--","AC Milan"
"Charles De Ketelaere","90","Mid","1.93 m","73 kg","Belgium","30","21",NA,NA,"1","18","13","2","0","0","17","3","AC Milan"
"Federico Mangiameli","","Fwd","--","--","Italy","--","--",NA,NA,"--","--","--","--","--","--","--","--","AC Milan"
"Olivier Giroud","9","Fwd","1.93 m","91 kg","France","30","8",NA,NA,"5","35","22","7","1","8","68","20","AC Milan"
"Zlatan Ibrahimovic","11","Fwd","1.96 m","93 kg","Sweden","4","3",NA,NA,"0","2","1","0","0","1","6","3","AC Milan"
"Ante Rebic","12","Fwd","1.85 m","78 kg","Croatia","23","13",NA,NA,"2","18","15","4","0","3","24","12","AC Milan"
"Rafael Leão","17","Fwd","1.88 m","81 kg","Portugal","32","7",NA,NA,"7","15","24","6","1","12","83","26","AC Milan"
"Divock Origi","27","Fwd","1.85 m","73 kg","Belgium","26","16",NA,NA,"1","13","17","1","0","2","30","12","AC Milan"
"Junior Messias","30","Fwd","1.75 m","68 kg","Brazil","22","6",NA,NA,"2","22","22","2","0","5","27","10","AC Milan"
"Samir Handanovic","1","GK","1.93 m","92 kg","Slovenia","13","0","26","17","0","0","0","0","0",NA,NA,NA,"Internazionale"
"Alex Cordaz","21","GK","1.88 m","83 kg","Italy","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Internazionale"
"Andre Onana","24","GK","1.91 m","92 kg","Cameroon","22","0","55","18","0","0","3","1","0",NA,NA,NA,"Internazionale"
"Nikolaos Botis","40","GK","1.96 m","--","Greece","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Internazionale"
"Denzel Dumfries","2","Def","1.88 m","78 kg","Netherlands","31","8",NA,NA,"4","30","37","4","0","1","32","14","Internazionale"
"Stefan de Vrij","6","Def","1.91 m","78 kg","Netherlands","24","4",NA,NA,"0","13","7","4","0","1","19","5","Internazionale"
"Robin Gosens","8","Def","1.83 m","76 kg","Germany","29","20",NA,NA,"0","14","2","1","0","3","24","5","Internazionale"
"Raoul Bellanova","12","Def","1.88 m","82 kg","Italy","16","14",NA,NA,"0","2","8","0","0","0","4","1","Internazionale"
"Francesco Acerbi","15","Def","1.93 m","87 kg","Italy","28","4",NA,NA,"2","17","10","4","0","0","15","1","Internazionale"
"Dalbert","29","Def","1.8 m","68 kg","Brazil","--","--",NA,NA,"--","--","--","--","--","--","--","--","Internazionale"
"Federico Dimarco","32","Def","1.75 m","73 kg","Italy","31","6",NA,NA,"2","10","30","0","0","4","38","9","Internazionale"
"Danilo D'Ambrosio","33","Def","1.8 m","73 kg","Italy","13","7",NA,NA,"2","12","8","3","1","0","2","1","Internazionale"
"Matteo Darmian","36","Def","1.83 m","68 kg","Italy","29","6",NA,NA,"2","21","20","3","0","1","7","1","Internazionale"
"Milan Skriniar","37","Def","1.88 m","78 kg","Slovakia","21","1",NA,NA,"0","34","14","4","1","0","10","3","Internazionale"
"Mattia Zanotti","46","Def","1.78 m","--","Italy","2","2",NA,NA,"0","2","0","0","0","0","0","0","Internazionale"
"Alessandro Fontanarosa","47","Def","--","--","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","Internazionale"
"Alessandro Bastoni","95","Def","1.91 m","73 kg","Italy","26","3",NA,NA,"2","16","14","3","0","0","10","1","Internazionale"
"Issiaka Kamate","","Mid","--","--","France","--","--",NA,NA,"--","--","--","--","--","--","--","--","Internazionale"
"Roberto Gagliardini","5","Mid","1.91 m","77 kg","Italy","17","12",NA,NA,"0","13","9","3","0","0","13","2","Internazionale"
"Kristjan Asllani","14","Mid","1.75 m","--","Albania","18","14",NA,NA,"0","3","5","2","0","0","10","0","Internazionale"
"Hakan Calhanoglu","20","Mid","1.78 m","76 kg","Turkey","31","5",NA,NA,"6","40","25","2","0","3","51","12","Internazionale"
"Henrikh Mkhitaryan","22","Mid","1.78 m","73 kg","Armenia","31","7",NA,NA,"2","28","28","4","0","3","35","6","Internazionale"
"Nicolò Barella","23","Mid","1.75 m","68 kg","Italy","32","3",NA,NA,"6","25","41","6","0","5","26","7","Internazionale"
"Valentin Carboni","45","Mid","--","--","Argentina","5","5",NA,NA,"0","0","3","0","0","0","0","0","Internazionale"
"Aleksandar Stankovic","50","Mid","1.85 m","78 kg","Serbia","0","0",NA,NA,"0","0","0","0","0","0","0","0","Internazionale"
"Marcelo Brozovic","77","Mid","1.8 m","68 kg","Croatia","25","8",NA,NA,"4","22","11","9","0","2","21","6","Internazionale"
"Edin Dzeko","9","Fwd","1.93 m","78 kg","Bosnia and Herzegovina","31","13",NA,NA,"3","15","23","3","0","9","69","22","Internazionale"
"Lautaro Martínez","10","Fwd","1.75 m","72 kg","Argentina","35","10",NA,NA,"5","42","58","3","0","20","118","48","Internazionale"
"Joaquín Correa","11","Fwd","1.88 m","73 kg","Argentina","25","14",NA,NA,"2","10","15","1","0","3","20","8","Internazionale"
"Dennis Curatolo","42","Fwd","--","--","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","Internazionale"
"Romelu Lukaku","90","Fwd","1.91 m","92 kg","Belgium","22","6",NA,NA,"5","13","4","1","0","8","43","18","Internazionale"
"Rui Patrício","1","GK","1.91 m","83 kg","Portugal","34","0","59","32","0","1","0","1","0",NA,NA,NA,"AS Roma"
"Pietro Boer","63","GK","1.93 m","--","Italy","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AS Roma"
"Mile Svilar","99","GK","1.88 m","77 kg","Serbia","0","0","0","0","0","0","0","0","0",NA,NA,NA,"AS Roma"
"Rick Karsdorp","2","Def","1.83 m","78 kg","Netherlands","13","5",NA,NA,"0","4","0","0","0","0","2","0","AS Roma"
"Ibañez","3","Def","1.85 m","73 kg","Brazil","30","0",NA,NA,"0","40","47","10","1","3","27","10","AS Roma"
"Chris Smalling","6","Def","1.93 m","81 kg","England","29","1",NA,NA,"1","17","14","7","0","3","14","4","AS Roma"
"Diego Llorente","14","Def","1.85 m","73 kg","Spain","6","2",NA,NA,"0","7","2","0","0","0","3","1","AS Roma"
"Zeki Celik","19","Def","1.8 m","78 kg","Turkey","21","7",NA,NA,"1","22","6","6","1","0","5","1","AS Roma"
"Gianluca Mancini","23","Def","1.91 m","77 kg","Italy","32","0",NA,NA,"2","34","23","7","0","1","19","5","AS Roma"
"Marash Kumbulla","24","Def","1.91 m","78 kg","Albania","7","2",NA,NA,"0","3","5","1","1","0","1","0","AS Roma"
"William Bianda","28","Def","1.85 m","87 kg","France","--","--",NA,NA,"--","--","--","--","--","--","--","--","AS Roma"
"Leonardo Spinazzola","37","Def","1.85 m","73 kg","Italy","25","7",NA,NA,"4","13","13","3","0","1","8","5","AS Roma"
"Filippo Missori","58","Def","1.83 m","--","Italy","1","1",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Dimitrios Keramitsis","60","Def","1.93 m","--","Greece","0","0",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Jan Oliveras","74","Def","--","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Brian Silva","80","Def","1.88 m","--","France","--","--",NA,NA,"--","--","--","--","--","--","--","--","AS Roma"
"Corentin Louakima","81","Def","--","--","France","0","0",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Matteo Falasca","82","Def","--","--","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Ante Coric","","Mid","1.73 m","68 kg","Croatia","--","--",NA,NA,"--","--","--","--","--","--","--","--","AS Roma"
"Bryan Cristante","4","Mid","1.85 m","78 kg","Italy","32","0",NA,NA,"1","46","19","8","1","1","24","4","AS Roma"
"Lorenzo Pellegrini","7","Mid","1.85 m","77 kg","Italy","29","1",NA,NA,"5","23","54","4","0","4","54","13","AS Roma"
"Nemanja Matic","8","Mid","1.93 m","83 kg","Serbia","32","16",NA,NA,"2","18","16","5","0","1","8","3","AS Roma"
"Mady Camara","20","Mid","1.85 m","73 kg","Guinea","13","7",NA,NA,"0","12","6","2","0","0","9","1","AS Roma"
"Georginio Wijnaldum","25","Mid","1.75 m","68 kg","Netherlands","10","3",NA,NA,"0","2","6","0","0","2","15","3","AS Roma"
"Edoardo Bove","52","Mid","1.78 m","--","Italy","18","11",NA,NA,"0","17","17","2","0","1","6","2","AS Roma"
"Ebrima Darboe","55","Mid","1.78 m","--","Gambia","0","0",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Nicola Zalewski","59","Mid","1.65 m","68 kg","Poland","29","7",NA,NA,"1","17","42","2","0","1","23","8","AS Roma"
"Cristian Volpato","62","Mid","1.88 m","--","Italy","7","5",NA,NA,"1","6","6","0","0","1","3","1","AS Roma"
"Benjamin Tahirovic","68","Mid","--","--","Sweden","8","7",NA,NA,"0","2","0","1","0","0","0","0","AS Roma"
"Giacomo Faticanti","73","Mid","--","--","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Niccolò Pisilli","76","Mid","--","--","Italy","1","1",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Tammy Abraham","9","Fwd","1.91 m","78 kg","England","34","10",NA,NA,"3","28","45","2","0","8","55","23","AS Roma"
"Andrea Belotti","11","Fwd","1.8 m","72 kg","Italy","27","20",NA,NA,"2","12","26","0","0","0","14","6","AS Roma"
"Ola Solbakken","18","Fwd","1.85 m","--","Norway","11","7",NA,NA,"1","5","7","1","0","1","7","1","AS Roma"
"Paulo Dybala","21","Fwd","1.78 m","73 kg","Argentina","24","4",NA,NA,"6","10","50","4","0","11","54","17","AS Roma"
"Jordan Majchrzak","77","Fwd","--","--","Poland","1","1",NA,NA,"0","0","0","0","0","0","0","0","AS Roma"
"Stephan El Shaarawy","92","Fwd","1.78 m","72 kg","Italy","26","15",NA,NA,"1","12","14","3","0","5","32","14","AS Roma"
"Wojciech Szczesny","1","GK","1.96 m","88 kg","Poland","25","0","52","21","0","0","1","0","0",NA,NA,NA,"Juventus"
"Carlo Pinsoglio","23","GK","1.93 m","83 kg","Italy","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Juventus"
"Mattia Perin","36","GK","1.88 m","83 kg","Italy","10","1","22","7","0","0","2","0","0",NA,NA,NA,"Juventus"
"Giovanni Garofani","41","GK","1.88 m","--","Italy","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Juventus"
"Simone Scaglia","47","GK","--","--","Italy","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Juventus"
"Gian Marco Crespi","48","GK","--","--","Italy","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Juventus"
"Dean Huijsen","","Def","1.96 m","--","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Juventus"
"Mattia De Sciglio","2","Def","1.83 m","78 kg","Italy","17","6",NA,NA,"0","4","12","0","0","0","4","0","Juventus"
"Bremer","3","Def","1.88 m","78 kg","Brazil","27","0",NA,NA,"1","24","11","6","0","3","25","5","Juventus"
"Danilo","6","Def","1.83 m","78 kg","Brazil","34","2",NA,NA,"3","29","15","4","0","3","27","6","Juventus"
"Alex Sandro","12","Def","1.8 m","78 kg","Brazil","24","4",NA,NA,"1","26","24","5","1","0","5","0","Juventus"
"Frederico Gatti","15","Def","1.91 m","--","Italy","14","2",NA,NA,"0","13","12","3","0","0","9","2","Juventus"
"Leonardo Bonucci","19","Def","1.91 m","83 kg","Italy","14","6",NA,NA,"0","9","5","2","0","1","2","1","Juventus"
"Daniele Rugani","24","Def","1.91 m","83 kg","Italy","7","1",NA,NA,"0","5","0","0","0","0","4","1","Juventus"
"Tommaso Barbieri","42","Def","1.8 m","58 kg","Italy","1","0",NA,NA,"0","1","3","0","0","0","0","0","Juventus"
"Alessandro Pio Riccio","51","Def","1.83 m","63 kg","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","Juventus"
"Mohamed Ihattaren","","Mid","1.83 m","77 kg","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Juventus"
"Joseph Nonge","","Mid","1.83 m","--","Belgium","--","--",NA,NA,"--","--","--","--","--","--","--","--","Juventus"
"Manuel Locatelli","5","Mid","1.85 m","73 kg","Italy","29","3",NA,NA,"2","34","27","8","0","0","21","9","Juventus"
"Paul Pogba","10","Mid","1.91 m","83 kg","France","5","5",NA,NA,"0","2","6","0","0","0","3","1","Juventus"
"Juan Cuadrado","11","Mid","1.78 m","72 kg","Colombia","28","7",NA,NA,"4","25","37","4","1","1","28","6","Juventus"
"Filip Kostic","17","Mid","1.83 m","81 kg","Serbia","34","4",NA,NA,"10","26","10","3","0","3","36","9","Juventus"
"Fabio Miretti","20","Mid","1.78 m","--","Italy","25","13",NA,NA,"2","18","25","2","0","0","20","5","Juventus"
"Ángel Di María","22","Mid","1.8 m","73 kg","Argentina","22","8",NA,NA,"4","5","18","1","1","4","31","10","Juventus"
"Adrien Rabiot","25","Mid","1.88 m","72 kg","France","28","1",NA,NA,"3","32","38","8","0","8","34","17","Juventus"
"Matìas Soulè","30","Mid","1.75 m","--","Argentina","13","9",NA,NA,"0","3","5","0","0","1","10","5","Juventus"
"Leandro Paredes","32","Mid","1.83 m","73 kg","Argentina","21","14",NA,NA,"0","12","8","5","1","1","14","2","Juventus"
"Nikola Sekulov","39","Mid","--","--","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","Juventus"
"Nicolo Fagioli","44","Mid","1.78 m","71 kg","Italy","25","9",NA,NA,"4","14","23","3","0","2","12","7","Juventus"
"Enzo Barrenechea","45","Mid","1.85 m","81 kg","Argentina","3","0",NA,NA,"0","3","1","0","0","0","2","0","Juventus"
"Mattia Compagnon","46","Mid","1.7 m","--","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","Juventus"
"Alessandro Sersanti","57","Mid","--","--","Italy","--","--",NA,NA,"--","--","--","--","--","--","--","--","Juventus"
"Samuel Mbangula","","Fwd","1.7 m","--","Belgium","--","--",NA,NA,"--","--","--","--","--","--","--","--","Juventus"
"Federico Chiesa","7","Fwd","1.75 m","68 kg","Italy","17","14",NA,NA,"4","10","9","2","0","0","12","0","Juventus"
"Dusan Vlahovic","9","Fwd","1.91 m","87 kg","Serbia","25","5",NA,NA,"2","15","23","1","0","10","61","22","Juventus"
"Arkadiusz Milik","14","Fwd","1.85 m","78 kg","Poland","23","8",NA,NA,"1","19","28","2","1","7","34","19","Juventus"
"Moise Kean","18","Fwd","1.83 m","67 kg","Italy","24","14",NA,NA,"0","14","15","5","1","6","34","13","Juventus"
"Kaio Jorge","21","Fwd","1.75 m","63 kg","Brazil","--","--",NA,NA,"--","--","--","--","--","--","--","--","Juventus"
"Cosimo Marco Da Graca","40","Fwd","1.85 m","--","Italy","0","0",NA,NA,"0","0","0","0","0","0","0","0","Juventus"
"Samuel Iling-Junior","43","Fwd","1.83 m","--","England","9","8",NA,NA,"1","6","2","1","0","1","3","1","Juventus"
"Manuel Neuer","1","GK","1.93 m","92 kg","Germany","12","0","7","11","0","0","1","0","0",NA,NA,NA,"Bayern Munich"
"Sven Ulreich","26","GK","1.93 m","87 kg","Germany","3","0","5","2","0","1","1","1","0",NA,NA,NA,"Bayern Munich"
"Yann Sommer","27","GK","1.83 m","78 kg","Switzerland","27","0","25","34","0","1","1","1","0",NA,NA,NA,"Bayern Munich"
"Johannes Schenk","35","GK","1.91 m","83 kg","Germany","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Bayern Munich"
"Dayot Upamecano","2","Def","1.85 m","83 kg","France","27","1",NA,NA,"1","29","13","6","1","0","8","1","Bayern Munich"
"Matthijs de Ligt","4","Def","1.88 m","87 kg","Netherlands","29","4",NA,NA,"2","19","17","4","0","3","20","7","Bayern Munich"
"Benjamin Pavard","5","Def","1.85 m","76 kg","France","28","3",NA,NA,"1","24","15","5","0","4","32","10","Bayern Munich"
"Alphonso Davies","19","Def","1.83 m","73 kg","Canada","26","2",NA,NA,"4","7","26","0","0","1","18","8","Bayern Munich"
"Bouna Sarr","20","Def","1.78 m","68 kg","Senegal","1","1",NA,NA,"0","0","0","0","0","0","0","0","Bayern Munich"
"Lucas Hernández","21","Def","1.83 m","78 kg","France","7","1",NA,NA,"0","4","4","1","0","0","0","0","Bayern Munich"
"João Cancelo","22","Def","1.83 m","73 kg","Portugal","13","3",NA,NA,"4","9","12","3","0","1","12","4","Bayern Munich"
"Daley Blind","23","Def","1.8 m","72 kg","Netherlands","4","3",NA,NA,"0","1","0","0","0","0","1","1","Bayern Munich"
"Justin Janitzek","36","Def","1.93 m","78 kg","Germany","--","--",NA,NA,"--","--","--","--","--","--","--","--","Bayern Munich"
"Gabriel Marusic","37","Def","1.85 m","68 kg","Croatia","0","0",NA,NA,"0","0","0","0","0","0","0","0","Bayern Munich"
"Noussair Mazraoui","40","Def","1.83 m","63 kg","Morocco","17","8",NA,NA,"4","14","11","0","0","1","8","2","Bayern Munich"
"Liam Morrison","41","Def","--","--","Scotland","0","0",NA,NA,"0","0","0","0","0","0","0","0","Bayern Munich"
"Josip Stanisic","44","Def","1.88 m","77 kg","Croatia","14","10",NA,NA,"0","5","3","1","0","0","0","0","Bayern Munich"
"Joshua Kimmich","6","Mid","1.78 m","73 kg","Germany","31","1",NA,NA,"6","21","47","5","1","5","27","12","Bayern Munich"
"Leon Goretzka","8","Mid","1.88 m","82 kg","Germany","25","4",NA,NA,"2","23","16","5","0","3","38","13","Bayern Munich"
"Paul Wanner","14","Mid","1.85 m","72 kg","Austria","2","2",NA,NA,"0","1","0","1","0","0","0","0","Bayern Munich"
"Ryan Gravenberch","38","Mid","1.91 m","83 kg","Netherlands","22","20",NA,NA,"0","8","5","1","0","0","10","3","Bayern Munich"
"Aleksandar Pavlovic","45","Mid","--","--","Germany","0","0",NA,NA,"0","0","0","0","0","0","0","0","Bayern Munich"
"Arijon Ibrahimovic","46","Mid","1.75 m","68 kg","Germany","1","1",NA,NA,"0","0","1","0","0","0","2","2","Bayern Munich"
"Serge Gnabry","7","Fwd","1.75 m","77 kg","Germany","32","12",NA,NA,"4","29","10","0","0","13","78","35","Bayern Munich"
"Leroy Sané","10","Fwd","1.83 m","78 kg","Germany","30","11",NA,NA,"6","15","22","4","0","8","73","27","Bayern Munich"
"Kingsley Coman","11","Fwd","1.8 m","76 kg","France","21","8",NA,NA,"5","8","19","1","1","7","41","15","Bayern Munich"
"Eric Maxim Choupo-Moting","13","Fwd","1.91 m","88 kg","Cameroon","18","4",NA,NA,"2","4","7","0","0","10","29","15","Bayern Munich"
"Sadio Mané","17","Fwd","1.75 m","68 kg","Senegal","23","5",NA,NA,"4","14","24","2","0","7","57","22","Bayern Munich"
"Thomas Müller","25","Fwd","1.85 m","76 kg","Germany","24","6",NA,NA,"8","8","10","0","0","6","34","17","Bayern Munich"
"Mathys Tel","39","Fwd","1.83 m","77 kg","France","20","19",NA,NA,"0","7","5","2","0","5","18","9","Bayern Munich"
"Jamal Musiala","42","Fwd","1.8 m","68 kg","Germany","31","6",NA,NA,"10","20","41","1","0","11","59","20","Bayern Munich"
"Péter Gulácsi","1","GK","1.91 m","86 kg","Hungary","6","0","1","9","0","0","0","0","0",NA,NA,NA,"RB Leipzig"
"Ørjan Nyland","13","GK","1.93 m","88 kg","Norway","1","0","1","0","0","0","0","0","0",NA,NA,NA,"RB Leipzig"
"Janis Blaswich","21","GK","1.93 m","87 kg","Germany","24","0","36","27","0","1","3","0","0",NA,NA,NA,"RB Leipzig"
"Oskar Preil","29","GK","1.88 m","--","Germany","--","--","--","--","--","--","--","--","--",NA,NA,NA,"RB Leipzig"
"Jonas Nickisch","34","GK","1.91 m","77 kg","Germany","0","0","0","0","0","0","0","0","0",NA,NA,NA,"RB Leipzig"
"Timo Schlieck","36","GK","1.93 m","82 kg","Germany","--","--","--","--","--","--","--","--","--",NA,NA,NA,"RB Leipzig"
"Mohamed Simakan","2","Def","1.88 m","82 kg","France","21","6",NA,NA,"1","17","21","2","0","1","11","3","RB Leipzig"
"Willi Orbán","4","Def","1.85 m","87 kg","Hungary","30","0",NA,NA,"0","16","31","3","0","3","23","7","RB Leipzig"
"Lukas Klostermann","16","Def","1.88 m","87 kg","Germany","12","4",NA,NA,"0","5","2","0","0","0","5","1","RB Leipzig"
"David Raum","22","Def","1.8 m","73 kg","Germany","27","8",NA,NA,"2","19","14","5","0","0","12","4","RB Leipzig"
"Marcel Halstenberg","23","Def","1.88 m","87 kg","Germany","28","13",NA,NA,"1","16","7","2","0","1","8","2","RB Leipzig"
"Sanoussy Ba","25","Def","1.83 m","73 kg","Germany","1","1",NA,NA,"0","0","0","0","0","0","0","0","RB Leipzig"
"Josko Gvardiol","32","Def","1.85 m","78 kg","Croatia","28","5",NA,NA,"0","17","13","1","0","1","16","6","RB Leipzig"
"Abdou Diallo","37","Def","1.88 m","78 kg","Senegal","7","2",NA,NA,"0","2","2","2","0","1","4","1","RB Leipzig"
"Benjamin Henrichs","39","Def","1.83 m","78 kg","Germany","28","6",NA,NA,"3","35","27","7","0","2","30","4","RB Leipzig"
"Dani Olmo","7","Mid","1.78 m","72 kg","Spain","21","8",NA,NA,"4","15","38","2","0","2","37","14","RB Leipzig"
"Amadou Haidara","8","Mid","1.75 m","72 kg","Mali","28","16",NA,NA,"1","25","9","6","0","2","15","4","RB Leipzig"
"Emil Forsberg","10","Mid","1.78 m","76 kg","Sweden","27","13",NA,NA,"4","16","19","2","0","6","19","10","RB Leipzig"
"Dominik Szoboszlai","17","Mid","1.85 m","73 kg","Hungary","28","2",NA,NA,"9","25","36","3","2","4","50","21","RB Leipzig"
"Xaver Schlager","24","Mid","1.75 m","76 kg","Austria","20","4",NA,NA,"1","22","24","2","0","1","5","1","RB Leipzig"
"Konrad Laimer","27","Mid","1.8 m","72 kg","Austria","18","4",NA,NA,"0","27","18","8","0","1","14","6","RB Leipzig"
"Caden Clark","28","Mid","1.8 m","68 kg","USA","0","0",NA,NA,"0","0","0","0","0","0","0","0","RB Leipzig"
"Kevin Kampl","44","Mid","1.78 m","66 kg","Slovenia","27","11",NA,NA,"2","20","7","8","0","2","7","2","RB Leipzig"
"Yussuf Poulsen","9","Fwd","1.93 m","83 kg","Denmark","17","14",NA,NA,"1","10","9","1","0","1","9","4","RB Leipzig"
"Timo Werner","11","Fwd","1.8 m","73 kg","Germany","25","4",NA,NA,"3","4","11","2","0","9","55","23","RB Leipzig"
"Christopher Nkunku","18","Fwd","1.78 m","68 kg","France","22","5",NA,NA,"1","15","29","3","0","13","61","19","RB Leipzig"
"André Silva","19","Fwd","1.85 m","83 kg","Portugal","30","11",NA,NA,"4","26","44","3","0","4","62","22","RB Leipzig"
"Gregor Kobel","1","GK","1.96 m","87 kg","Switzerland","25","0","75","29","0","0","4","0","0",NA,NA,NA,"Borussia Dortmund"
"Alexander Meyer","33","GK","1.96 m","88 kg","Germany","7","0","10","12","0","0","0","0","0",NA,NA,NA,"Borussia Dortmund"
"Marcel Lotka","35","GK","1.91 m","83 kg","Poland","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Borussia Dortmund"
"Luca Unbehaun","38","GK","1.85 m","82 kg","Germany","--","--","--","--","--","--","--","--","--",NA,NA,NA,"Borussia Dortmund"
"Mateu Morey","2","Def","1.73 m","67 kg","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Borussia Dortmund"
"Nico Schlotterbeck","4","Def","1.91 m","86 kg","Germany","27","0",NA,NA,"4","16","17","3","0","4","18","6","Borussia Dortmund"
"Raphaël Guerreiro","13","Def","1.7 m","71 kg","Portugal","25","1",NA,NA,"12","7","9","3","0","3","26","9","Borussia Dortmund"
"Nico Schulz","14","Def","1.8 m","83 kg","Germany","--","--",NA,NA,"--","--","--","--","--","--","--","--","Borussia Dortmund"
